Time;Number of Costumers
0;0
1;0
1;0
2;0
1;0
3;0
3;0
3;0
3;0
4;0
4;0
4;0
5;0
5;0
5;0
5;0
6;0
6;0
6;0
7;0
7;0
7;0
7;0
8;0
8;0
8;0
8;0
9;0
9;0
9;0
9;0
9;0
9;0
10;0
10;0
10;0
10;0
10;0
11;0
11;0
11;0
11;0
12;0
12;0
12;0
12;0
12;0
13;0
13;0
12;0
13;1
13;1
14;1
14;1
14;1
14;1
15;1
15;1
15;1
15;1
15;1
16;1
16;1
16;1
16;1
16;1
16;1
16;2
17;2
17;2
17;2
17;2
17;3
17;3
18;3
18;3
18;4
18;4
18;4
18;4
19;4
19;4
19;4
19;4
19;4
19;4
20;4
20;4
20;4
20;4
20;5
20;5
21;5
21;5
21;5
21;5
21;5
21;5
22;5
22;5
22;5
22;6
22;6
22;6
23;6
23;6
23;7
23;7
23;7
23;7
24;7
24;7
24;7
24;7
24;7
24;7
24;7
24;7
25;7
25;7
25;7
25;7
25;8
25;9
25;10
25;10
26;10
26;10
26;10
26;10
27;10
27;11
27;11
28;11
28;11
28;11
29;11
29;11
30;11
30;11
31;11
31;11
31;11
31;11
31;11
32;11
32;11
32;12
32;13
33;13
33;14
33;14
33;13
34;13
34;13
34;14
34;14
35;14
35;14
35;15
35;15
35;15
36;15
36;15
36;15
36;16
36;17
36;18
36;17
37;16
37;16
38;16
38;16
38;16
38;15
39;16
40;16
40;16
40;15
41;15
41;15
41;16
42;15
43;15
43;14
44;15
45;15
45;14
45;13
45;12
46;13
46;13
47;14
47;13
49;13
50;13
50;13
50;13
51;13
51;14
51;14
52;15
52;16
52;15
52;14
53;13
54;12
55;11
56;11
56;10
56;9
56;8
57;8
57;8
57;8
57;8
58;8
58;8
58;8
59;8
59;8
59;7
59;7
59;7
60;7
60;7
60;7
60;7
60;7
61;6
61;6
61;6
61;6
61;7
62;7
62;7
62;7
62;7
63;7
63;7
63;7
63;7
63;7
63;7
64;6
64;6
64;6
64;6
64;6
64;6
65;6
65;6
65;6
65;6
65;6
66;5
66;5
66;5
66;5
66;5
67;5
67;4
67;4
67;4
68;4
68;4
68;4
68;4
68;4
68;5
68;5
69;5
69;5
69;5
69;5
69;5
69;5
70;6
70;6
70;6
70;6
71;6
71;6
71;6
71;6
71;6
71;5
71;5
71;5
72;5
72;5
72;4
72;3
72;3
72;3
72;3
72;3
72;4
72;4
73;4
73;4
73;4
73;5
73;5
73;5
73;5
73;5
74;5
74;5
74;6
74;6
74;6
74;6
75;6
75;6
75;7
75;7
75;7
75;7
76;7
76;7
76;7
76;7
76;7
76;7
76;7
77;7
77;7
77;7
77;7
77;7
77;8
77;8
78;8
78;8
78;8
78;8
78;8
78;8
78;8
79;8
79;8
79;9
79;10
79;10
79;10
79;10
80;10
80;10
80;10
80;10
80;10
80;10
80;10
81;10
81;10
81;10
81;10
81;11
81;11
81;10
81;10
81;10
81;10
82;10
82;10
82;10
82;10
82;11
82;11
82;11
83;11
83;11
83;11
83;11
83;11
83;11
84;11
84;12
84;12
84;12
84;12
84;12
84;12
85;12
85;12
85;13
85;13
85;13
86;13
86;13
86;13
86;14
86;14
86;14
87;14
87;14
87;14
87;14
88;14
88;14
88;13
88;13
88;13
88;13
89;14
89;15
89;15
89;15
90;16
90;16
90;16
90;15
91;15
91;15
91;15
91;15
92;15
92;15
92;14
92;14
92;14
92;15
93;15
93;15
93;15
93;15
93;15
93;14
93;14
94;14
94;14
94;13
94;13
94;13
94;13
94;14
94;15
95;14
95;14
95;15
95;15
96;15
96;15
96;15
96;15
96;15
97;15
97;15
97;14
97;14
97;14
97;14
97;15
98;15
98;16
98;17
98;17
99;17
99;17
99;17
99;16
99;15
99;15
100;15
100;15
100;15
100;16
101;16
101;16
101;15
101;15
102;15
102;15
102;16
102;15
102;15
103;15
103;15
104;15
104;15
104;15
104;14
105;15
105;16
105;17
105;16
106;16
106;15
107;15
107;15
107;16
107;16
108;16
108;16
108;16
108;17
109;17
109;17
109;16
109;15
110;15
110;15
110;14
111;15
111;16
112;16
112;16
112;15
113;15
113;15
113;15
113;16
113;16
114;15
114;14
114;14
114;15
115;15
115;15
115;15
116;15
115;14
117;14
117;14
117;14
117;14
117;13
118;13
118;12
118;11
