Costumer Id;Start time;Finish Time;Wait time;Time in System
0;331;366;1;35
1;165;211;11;46
2;19;61;6;42
3;724;757;0;33
4;1586;1619;0;33
5;546;581;2;35
6;3445;3477;0;32
7;77;115;4;38
8;1235;1268;0;33
9;405;443;0;38
10;84;117;1;33
11;753;789;2;36
12;430;465;1;35
13;1420;1452;0;32
14;542;576;2;34
15;226;264;4;38
16;2189;2221;0;32
17;214;248;1;34
18;595;628;0;33
19;768;800;0;32
20;1457;1489;0;32
21;936;969;0;33
22;200;242;7;42
23;128;168;8;40
24;201;240;5;39
25;174;213;7;39
26;1876;1909;0;33
27;718;751;0;33
28;342;377;0;35
29;2112;2145;0;33
30;93;128;3;35
31;497;531;2;34
32;539;572;1;33
33;1592;1627;0;35
34;160;196;1;36
35;282;319;3;37
36;527;563;0;36
37;587;621;1;34
38;100;134;2;34
39;146;185;7;39
40;785;817;0;32
41;1644;1677;0;33
42;1760;1792;0;32
43;8;40;0;32
44;1446;1478;0;32
45;645;677;0;32
46;1376;1408;0;32
47;366;400;0;34
48;310;344;2;34
49;478;510;0;32
50;291;325;1;34
51;1536;1570;0;34
52;1672;1706;0;34
53;497;534;3;37
54;214;249;2;35
55;228;261;0;33
56;27;59;0;32
57;988;1022;0;34
58;1152;1186;1;34
59;16;52;2;36
60;0;33;0;33
61;135;177;9;42
62;674;706;0;32
63;166;202;4;36
64;3550;3582;0;32
65;468;500;0;32
66;139;173;0;34
67;56;88;0;32
68;573;607;0;34
69;690;726;0;36
70;444;481;0;37
71;1242;1275;0;33
72;446;479;0;33
73;750;786;1;36
74;427;459;0;32
75;454;487;1;33
76;129;166;3;37
77;180;217;5;37
78;1263;1295;0;32
79;518;552;0;34
80;2563;2597;0;34
81;483;517;0;34
82;375;407;0;32
83;253;286;1;33
84;62;94;0;32
85;839;872;0;33
86;411;444;0;33
87;753;789;3;36
88;1063;1095;0;32
89;189;222;1;33
90;496;531;0;35
91;1325;1358;0;33
92;728;765;1;37
93;570;604;0;34
94;94;127;1;33
95;349;383;0;34
96;323;356;1;33
97;423;456;0;33
98;1073;1107;0;34
99;830;862;0;32
100;1396;1428;0;32
101;287;323;0;36
102;327;361;0;34
103;79;112;0;33
104;148;181;1;33
105;1;37;1;36
106;2683;2725;0;42
107;453;486;0;33
108;188;222;0;34
109;312;351;5;39
110;1725;1760;0;35
111;489;525;2;36
112;402;434;0;32
113;869;901;0;32
114;975;1009;0;34
115;225;257;0;32
116;585;620;0;35
117;91;125;0;34
118;573;606;1;33
119;172;208;2;36
120;1905;1937;0;32
121;439;471;0;32
122;1925;1959;0;34
123;684;722;0;38
124;1871;1906;0;35
125;333;366;1;33
126;12;45;1;33
127;196;232;4;36
128;208;241;1;33
129;135;184;9;49
130;71;109;5;38
131;68;102;2;34
132;1356;1388;0;32
133;933;965;0;32
134;9;47;6;38
135;1107;1139;0;32
136;1347;1380;0;33
137;163;197;1;34
138;35;72;0;37
139;701;735;0;34
140;470;502;0;32
141;2925;2958;0;33
142;295;329;0;34
143;1507;1539;0;32
144;314;348;0;34
145;438;473;3;35
146;627;659;0;32
147;283;316;0;33
148;3249;3281;0;32
149;17;52;0;35
150;123;156;0;33
151;568;601;0;33
152;24;64;6;40
153;79;114;1;35
154;242;275;0;33
155;21;56;3;35
156;40;72;0;32
157;311;345;0;34
158;393;428;1;35
159;732;764;0;32
160;275;307;0;32
161;2179;2212;0;33
162;532;564;0;32
163;372;404;0;32
164;448;480;0;32
165;195;229;0;34
166;317;351;2;34
