Event type	Costumer Id	Start time	Serving Time	Arrive date
SeatsAv	0	366	10	366
Order	0	333	12	333
CostIn	0	332	1	331
Stay	0	346	20	346
Order	0	333	0	333
CoffeRdy	0	345	1	345
CostIn	1	171	1	165
SeatsAv	1	211	10	211
Order	1	177	13	172
Stay	1	191	20	191
Order	1	172	0	172
CoffeRdy	1	190	1	190
Stay	2	41	20	41
Order	2	26	0	26
Order	2	26	14	26
CostIn	2	25	1	19
CoffeRdy	2	40	1	40
SeatsAv	2	61	10	61
Order	3	725	0	725
SeatsAv	3	757	10	757
Order	3	725	11	725
Stay	3	737	20	737
CoffeRdy	3	736	1	736
CostIn	3	724	1	724
CoffeRdy	4	1598	1	1598
Stay	4	1599	20	1599
Order	4	1587	0	1587
SeatsAv	4	1619	10	1619
Order	4	1587	11	1587
CostIn	4	1586	1	1586
Order	5	549	11	549
Order	5	549	0	549
CoffeRdy	5	560	1	560
Stay	5	561	20	561
CostIn	5	548	1	546
SeatsAv	5	581	10	581
SeatsAv	6	3477	10	3477
Order	6	3446	10	3446
Order	6	3446	0	3446
CostIn	6	3445	1	3445
Stay	6	3457	20	3457
CoffeRdy	6	3456	1	3456
Order	7	82	0	82
Stay	7	95	20	95
Order	7	82	12	82
CostIn	7	81	1	77
SeatsAv	7	115	10	115
CoffeRdy	7	94	1	94
Order	8	1236	11	1236
CostIn	8	1235	1	1235
Stay	8	1248	20	1248
SeatsAv	8	1268	10	1268
Order	8	1236	0	1236
CoffeRdy	8	1247	1	1247
Order	9	406	0	406
Order	9	406	16	406
Stay	9	423	20	423
CoffeRdy	9	422	1	422
SeatsAv	9	443	10	443
CostIn	9	405	1	405
CostIn	10	85	1	84
Order	10	86	0	86
Order	10	86	10	86
SeatsAv	10	117	10	117
Stay	10	97	20	97
CoffeRdy	10	96	1	96
Stay	11	769	20	769
SeatsAv	11	789	10	789
CoffeRdy	11	768	1	768
CostIn	11	755	1	753
Order	11	756	0	756
Order	11	756	12	756
SeatsAv	12	465	10	465
Order	12	432	12	432
Order	12	432	0	432
CoffeRdy	12	444	1	444
Stay	12	445	20	445
CostIn	12	431	1	430
Order	13	1421	10	1421
Stay	13	1432	20	1432
SeatsAv	13	1452	10	1452
Order	13	1421	0	1421
CostIn	13	1420	1	1420
CoffeRdy	13	1431	1	1431
CostIn	14	544	1	542
CoffeRdy	14	555	1	555
SeatsAv	14	576	10	576
Order	14	545	0	545
Stay	14	556	20	556
Order	14	545	10	545
Order	15	231	0	231
Stay	15	244	20	244
Order	15	231	12	231
SeatsAv	15	264	10	264
CoffeRdy	15	243	1	243
CostIn	15	230	1	226
CostIn	16	2189	1	2189
Order	16	2190	10	2190
CoffeRdy	16	2200	1	2200
Stay	16	2201	20	2201
Order	16	2190	0	2190
SeatsAv	16	2221	10	2221
SeatsAv	17	248	10	248
Order	17	216	11	216
CoffeRdy	17	227	1	227
CostIn	17	215	1	214
Stay	17	228	20	228
Order	17	216	0	216
Order	18	596	11	596
CostIn	18	595	1	595
CoffeRdy	18	607	1	607
SeatsAv	18	628	10	628
Stay	18	608	20	608
Order	18	596	0	596
Order	19	769	0	769
CostIn	19	768	1	768
Stay	19	780	20	780
Order	19	769	10	769
CoffeRdy	19	779	1	779
SeatsAv	19	800	10	800
Order	20	1458	10	1458
CostIn	20	1457	1	1457
CoffeRdy	20	1468	1	1468
SeatsAv	20	1489	10	1489
Stay	20	1469	20	1469
Order	20	1458	0	1458
CostIn	21	936	1	936
CoffeRdy	21	948	1	948
SeatsAv	21	969	10	969
Stay	21	949	20	949
Order	21	937	11	937
Order	21	937	0	937
Stay	22	222	20	222
SeatsAv	22	242	10	242
Order	22	208	0	208
CoffeRdy	22	221	1	221
Order	22	208	13	208
CostIn	22	207	1	200
Order	23	137	0	137
SeatsAv	23	168	10	168
CostIn	23	136	1	128
Stay	23	148	20	148
CoffeRdy	23	147	1	147
Order	23	137	10	137
Order	24	207	12	207
CostIn	24	206	1	201
Stay	24	220	20	220
SeatsAv	24	240	10	240
CoffeRdy	24	219	1	219
Order	24	207	0	207
Stay	25	193	20	193
Order	25	182	10	182
CostIn	25	181	1	174
CoffeRdy	25	192	1	192
SeatsAv	25	213	10	213
Order	25	182	0	182
Stay	26	1889	20	1889
Order	26	1877	0	1877
CoffeRdy	26	1888	1	1888
Order	26	1877	11	1877
SeatsAv	26	1909	10	1909
CostIn	26	1876	1	1876
Stay	27	731	20	731
Order	27	719	0	719
CostIn	27	718	1	718
CoffeRdy	27	730	1	730
SeatsAv	27	751	10	751
Order	27	719	11	719
SeatsAv	28	377	10	377
Order	28	343	13	343
Stay	28	357	20	357
CostIn	28	342	1	342
CoffeRdy	28	356	1	356
Order	28	343	0	343
Stay	29	2125	20	2125
CostIn	29	2112	1	2112
Order	29	2113	0	2113
Order	29	2113	11	2113
SeatsAv	29	2145	10	2145
CoffeRdy	29	2124	1	2124
CoffeRdy	30	107	1	107
Order	30	97	10	97
SeatsAv	30	128	10	128
Stay	30	108	20	108
CostIn	30	96	1	93
Order	30	97	0	97
Stay	31	511	20	511
CostIn	31	499	1	497
Order	31	500	0	500
Order	31	500	10	500
CoffeRdy	31	510	1	510
SeatsAv	31	531	10	531
Order	32	541	0	541
CoffeRdy	32	551	1	551
CostIn	32	540	1	539
SeatsAv	32	572	10	572
Order	32	541	10	541
Stay	32	552	20	552
Order	33	1593	0	1593
CostIn	33	1592	1	1592
Stay	33	1607	20	1607
Order	33	1593	13	1593
CoffeRdy	33	1606	1	1606
SeatsAv	33	1627	10	1627
SeatsAv	34	196	10	196
CostIn	34	160	1	160
Order	34	161	0	161
Order	34	162	13	161
Stay	34	176	20	176
CoffeRdy	34	175	1	175
SeatsAv	35	319	10	319
CoffeRdy	35	298	1	298
Stay	35	299	20	299
CostIn	35	285	1	282
Order	35	286	0	286
Order	35	286	12	286
Order	36	528	0	528
CostIn	36	527	1	527
Order	36	528	14	528
CoffeRdy	36	542	1	542
Stay	36	543	20	543
SeatsAv	36	563	10	563
Order	37	589	11	589
Order	37	589	0	589
Stay	37	601	20	601
CoffeRdy	37	600	1	600
SeatsAv	37	621	10	621
CostIn	37	588	1	587
Order	38	103	10	103
CoffeRdy	38	113	1	113
SeatsAv	38	134	10	134
Stay	38	114	20	114
Order	38	103	0	103
CostIn	38	102	1	100
Order	39	153	0	153
Order	39	154	10	153
SeatsAv	39	185	10	185
CostIn	39	152	1	146
Stay	39	165	20	165
CoffeRdy	39	164	1	164
CostIn	40	785	1	785
SeatsAv	40	817	10	817
CoffeRdy	40	796	1	796
Order	40	786	10	786
Order	40	786	0	786
Stay	40	797	20	797
Stay	41	1657	20	1657
SeatsAv	41	1677	10	1677
Order	41	1645	0	1645
CostIn	41	1644	1	1644
CoffeRdy	41	1656	1	1656
Order	41	1645	11	1645
Order	42	1761	0	1761
Order	42	1761	10	1761
CoffeRdy	42	1771	1	1771
Stay	42	1772	20	1772
SeatsAv	42	1792	10	1792
CostIn	42	1760	1	1760
Order	43	9	10	9
CoffeRdy	43	19	1	19
Stay	43	20	20	20
SeatsAv	43	40	10	40
Order	43	9	0	9
CostIn	43	8	1	8
Order	44	1447	10	1447
SeatsAv	44	1478	10	1478
CoffeRdy	44	1457	1	1457
Stay	44	1458	20	1458
Order	44	1447	0	1447
CostIn	44	1446	1	1446
Order	45	646	0	646
Order	45	646	10	646
Stay	45	657	20	657
CostIn	45	645	1	645
CoffeRdy	45	656	1	656
SeatsAv	45	677	10	677
CostIn	46	1376	1	1376
Stay	46	1388	20	1388
SeatsAv	46	1408	10	1408
CoffeRdy	46	1387	1	1387
Order	46	1377	10	1377
Order	46	1377	0	1377
CoffeRdy	47	379	1	379
Order	47	367	0	367
Order	47	367	12	367
SeatsAv	47	400	10	400
CostIn	47	366	1	366
Stay	47	380	20	380
CostIn	48	312	1	310
Stay	48	324	20	324
CoffeRdy	48	323	1	323
SeatsAv	48	344	10	344
Order	48	313	0	313
Order	48	313	10	313
Stay	49	490	20	490
CostIn	49	478	1	478
SeatsAv	49	510	10	510
Order	49	479	10	479
CoffeRdy	49	489	1	489
Order	49	479	0	479
CostIn	50	292	1	291
Stay	50	305	20	305
SeatsAv	50	325	10	325
Order	50	293	0	293
Order	50	293	11	293
CoffeRdy	50	304	1	304
Order	51	1537	12	1537
SeatsAv	51	1570	10	1570
Stay	51	1550	20	1550
CoffeRdy	51	1549	1	1549
Order	51	1537	0	1537
CostIn	51	1536	1	1536
CoffeRdy	52	1685	1	1685
CostIn	52	1672	1	1672
Order	52	1673	12	1673
Order	52	1673	0	1673
Stay	52	1686	20	1686
SeatsAv	52	1706	10	1706
Stay	53	514	20	514
Order	53	501	12	501
Order	53	501	0	501
CoffeRdy	53	513	1	513
SeatsAv	53	534	10	534
CostIn	53	500	1	497
Stay	54	229	20	229
SeatsAv	54	249	10	249
Order	54	217	0	217
CoffeRdy	54	228	1	228
CostIn	54	216	1	214
Order	54	217	11	217
Stay	55	241	20	241
CoffeRdy	55	240	1	240
